Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
6881312,4.84,6.08,284,99.370766,47.097599,1.9712787,4.8674784,0.51099378,0.84937418,2.9515123,4332,2.308965
6881313,4.84,6.12,281,100.59311,49.2896,1.9671358,4.8582816,0.51002824,0.84919655,2.9552066,4332,2.3144372
6881314,4.84,6.16,278,102.07783,51.580799,1.9647486,4.8536963,0.50954688,0.84910786,2.9570539,4332,2.3173428
6881315,4.84,6.2,278,105.88176,55.756802,1.9642944,4.852551,0.50942665,0.84908575,2.9575155,4332,2.3179982
6881316,4.84,6.24,279,110.23824,60.051201,1.9651686,4.854269,0.50960696,0.84911895,2.9568229,4332,2.3169179
6881317,4.84,6.28,279,115.27534,65.700798,1.9644854,4.852551,0.50942665,0.84908575,2.9575155,4332,2.317903
6881318,4.84,6.32,282,121.21204,71.260803,1.9657331,4.854269,0.50960696,0.84911895,2.9568229,4332,2.3166411
6881319,4.84,6.36,286,128.93832,79.056,1.9673752,4.8565612,0.50984764,0.84916329,2.9558992,4332,2.3149793
6881320,4.84,6.4,292,137.32787,87.444801,1.9669605,4.8531237,0.50948673,0.84909683,2.9572847,4332,2.3165731
6881321,4.84,6.44,295,147.93527,97.942398,1.9816529,4.8929505,0.51366782,0.84986472,2.9413531,4332,2.294955
6881322,4.84,6.48,303,156.05125,107.5904,1.9861518,4.9011111,0.51452458,0.85002148,2.9381206,4332,2.2897866
6881323,4.84,6.52,295,156.31007,114.176,1.9830939,4.8970275,0.51409584,0.84994304,2.9397368,4332,2.2927966
6881324,4.84,6.56,283,154.22353,118.4128,1.9813528,4.8999438,0.51440197,0.84999907,2.9385824,4332,2.2928743
6881325,4.84,6.6,295,168.70222,135.65601,2.0060678,4.9812241,0.52293485,0.85154957,2.90695,4332,2.2547672
6881326,4.84,6.64,387,302.0123,347.6048,2.0003119,5.5782952,0.58561617,0.86237413,2.7028401,4332,2.1413686
6881327,4.84,6.68,528,619.30365,1143.9041,1.7093714,6.7876472,0.71257538,0.88180274,2.3994458,4332,2.1814256
6881328,4.84,6.72,401,380.50388,563.33917,1.8095964,6.0857882,0.63889337,0.87088883,2.5608404,4332,2.2033527
6881329,4.84,6.76,257,161.88014,149.496,1.9890305,4.9584103,0.52053988,0.85111636,2.9157238,4332,2.2724681
6881330,4.84,6.8,223,140.52336,135.5696,1.9482341,4.8485479,0.50900638,0.84900826,2.959132,4332,2.3294914
6881331,4.84,6.84,210,139.3932,140.2384,1.9399457,4.8371463,0.5078094,0.84878737,2.9637496,4332,2.3385367
6946824,4.88,5.12,257,141.64993,120.3952,1.9683169,4.885397,0.51287484,0.84971946,2.9443545,4332,2.305742
6946825,4.88,5.16,281,150.26085,122.7664,1.9265378,5.564714,0.58419037,0.86213815,2.706996,4332,2.202472
6946826,4.88,5.2,303,161.89883,129.03999,2.1283205,4.657526,0.4889527,0.84525251,3.0394828,4332,2.2362204
6946827,4.88,5.24,311,161.76492,126.2768,2.1256602,4.6422849,0.48735264,0.8449477,3.0461788,4332,2.2423639
6946828,4.88,5.28,266,112.8196,73.441597,2.0520284,4.4322267,0.4653005,0.8406651,3.1431539,4332,2.3538346
6946829,4.88,5.32,253,100.08851,60.153599,2.0361748,4.3737965,0.45916641,0.83944577,3.1717849,4332,2.3820033
6946830,4.88,5.36,240,89.044327,49.6576,2.0152116,4.2903252,0.45040351,0.83768153,3.2140384,4332,2.4220734
6946831,4.88,5.4,231,80.087898,40.056,2.0131137,4.2871957,0.45007494,0.83761483,3.2156546,4332,2.4238181
6946832,4.88,5.44,205,60.688377,23.132799,2.010174,4.2840705,0.44974688,0.83754826,3.2172709,4332,2.4247003
6946833,4.88,5.48,164,43.486481,13.672,2.1515963,3.6516891,0.38335872,0.82321012,3.6012468,4332,2.5069244
6946835,4.88,5.56,272,134.31546,90.212799,1.9856191,4.8314657,0.50721306,0.84867716,2.9660587,4332,2.3049574
6946836,4.88,5.6,289,135.49271,86.049599,1.9916254,4.8377151,0.50786912,0.84879839,2.9635189,4332,2.2994828
6946837,4.88,5.64,293,130.97589,79.513603,1.9943076,4.8428402,0.50840718,0.84889776,2.9614408,4332,2.2962837
6946838,4.88,5.68,294,126.60983,74.350403,1.9947145,4.8434105,0.50846708,0.84890878,2.9612098,4332,2.2958724
6946839,4.88,5.72,295,122.78362,69.580803,1.991497,4.8343043,0.50751108,0.84873223,2.9649041,4332,2.3007851
6946840,4.88,5.76,297,119.6748,65.524803,1.9935917,4.8388529,0.50798863,0.84882045,2.963057,4332,2.2980833
6946841,4.88,5.8,298,116.93443,62.254398,1.9783156,4.879024,0.51220578,0.84959674,2.9468944,4332,2.3012395
6946842,4.88,5.84,303,117.17518,61.233601,1.9822768,4.8871379,0.51305765,0.84975296,2.9436619,4332,2.2963297
6946843,4.88,5.88,310,120.48535,63.566399,2.0121527,4.9788127,0.52268171,0.85150385,2.9078734,4332,2.2509773
6946844,4.88,5.92,348,155.85977,100.624,2.0305066,5.0133963,0.52631235,0.85215783,2.8947124,4332,2.2301672
6946845,4.88,5.96,515,530.81659,1091.5472,1.7780085,6.716723,0.70512968,0.88074052,2.414223,4332,2.1349714
